HS8,Description,Base,Category,HS4,HS6,Cat
15121100,ACEITE DE GIRASOL; ACEITE EN BRUTO,3.0,A,'1512,'151211,A
15121900,- - LOS DEMÁS,20.0,D,'1512,'151219,D
15122100,- - ACEITE EN BRUTO; INCLUSO SIN GOSIPOL,3.0,A,'1512,'151221,A
15122900,ACEITE DE ALGODON (REFINADO);LOS DEMÁS,20.0,D,'1512,'151229,D
15131100,- - ACEITE EN BRUTO,3.0,A,'1513,'151311,A
15131900,- - LOS DEMÁS,20.0,D,'1513,'151319,D
15132110,- - - DE ALMENDRA DE PALMA,3.0,A,'1513,'151321,A
15132120,- - - DE BABASÚ,3.0,A,'1513,'151321,A
15132910,- - - DE ALMENDRA DE PALMA,14.0,C,'1513,'151329,C
15132920,- - - DE BABASÚ,14.0,A,'1513,'151329,A
15141100,- - ACEITES EN BRUTO,3.0,A,'1514,'151411,A
15141900,- - LOS DEMÁS,20.0,C,'1514,'151419,C
15149100,- - ACEITES EN BRUTO,3.0,A,'1514,'151491,A
15149900,- - LOS DEMÁS,20.0,C,'1514,'151499,C
15151100,- - ACEITE EN BRUTO,3.0,A,'1515,'151511,A
15151900,- - LOS DEMÁS,3.0,A,'1515,'151519,A
15152100,ACEITE DE MAIZ EN BRUTO,3.0,A,'1515,'151521,A
15152900,ACEITE DE MAIZ;(REFINADO) LOS DEMÁS,20.0,D,'1515,'151529,D
15153000,- ACEITE DE RICINO Y SUS FRACCIONES,3.0,A,'1515,'151530,A
15154000,- ACEITE DE TUNG Y SUS FRACCIONES,3.0,A,'1515,'151540,A
15155000,- ACEITE DE SÉSAMO (AJONJOLÍ) Y SUS FRACCIONES,3.0,A,'1515,'151550,A
15159010,DE AGUACATE,3.0,B,'1515,'151590,B
15159090,LOS DEMAS,3.0,A,'1515,'151590,A
15161000,-GRASAS Y ACEITES; ANIMALES; Y SUS FRACCIONES,8.0,B,'1516,'151610,B
15162000,-GRASAS Y ACEITES; VEGETALES; Y SUS FRACCIONES,8.0,C,'1516,'151620,C
15171000,-MARGARINA; EXCEPTO LA MARGARINA LIQUIDA,20.0,D,'1517,'151710,D
15179000,-LAS DEMAS,20.0,D,'1517,'151790,D
15180010,-GRASA AMARILLA,0.0,G,'1518,'151800,G
15180090,GRASA AMARILLA; LOS DEMAS,3.0,A,'1518,'151800,A
15200000,GLICEROL EN BRUTO; AGUAS Y LEJIAS GLICERINOSAS,3.0,A,'1520,'152000,A
15211010,- - CERA DE CARNAUBA,3.0,A,'1521,'152110,A
15211020,- - CERA DE CANDELILLA,3.0,A,'1521,'152110,A
15211090,- - LAS DEMÁS,3.0,A,'1521,'152110,A
15219010,- - CERA DE ABEJAS O DE OTROS INSECTOS,3.0,A,'1521,'152190,A
15219020,- - ESPERMA DE BALLENA O DE OTROS CETÁCEOS (ESPERMACETI),3.0,A,'1521,'152190,A
15220010,-DEGRAS,3.0,A,'1522,'152200,A
15220090,-LOS DEMAS,3.0,A,'1522,'152200,A
16010010,- DE HÍGADO,40.0,D,'1601,'160100,D
16010020,- SALCHICHAS Y SALCHICHONES DE AVES DE LA PARTIDA 01.05,40.0,C,'1601,'160100,C
16010029,SALCHICHAS Y SALCHICHONES DE CARNE LAS DEMAS,40.0,D,'1601,'160100,D
16010030,- CHORIZOS; LONGANIZAS Y MORTADELAS,20.0,D,'1601,'160100,D
16010040,- MORCILLAS Y BUTIFARRAS,20.0,D,'1601,'160100,D
16010090,EMBUTIDOS Y DESPOJOS DE CARNES; PREP. ALIMENTICIAS;LOS DEMÁS,40.0,D,'1601,'160100,D
16021010,- PREPARACIONES HOMOGENEIZADAS DE AVES DE LA PARTIDA 01.05,20.0,C,'1602,'160210,C
16021090,- PREPARACIONES HOMOGENEIZADAS DE CARNE LAS DEMAS,20.0,D,'1602,'160210,D
16022000,- DE HÍGADO DE CUALQUIER ANIMAL,20.0,D,'1602,'160220,D
16023100,PREPARACIONES Y DESPOJOS DE CARNE: DE PAVO (GALLIPAVO),20.0,B,'1602,'160231,B
16023200,PREPARACIONES Y DESPOJOS DE CARNE: DE GALLO O GALLINA,20.0,B,'1602,'160232,B
16023900,PREPARACIONES Y DESPOJOS DE CARNE: LAS DEMÁS,20.0,B,'1602,'160239,B
16024100,JAMONES Y TROZOS DE JAMÓN,40.0,D,'1602,'160241,D
16024200,PALETAS Y TROZOS DE PALETA,40.0,D,'1602,'160242,D
16024900,PREPARACIONES Y DESPOJOS DE CARNE: LAS DEMÁS; INCLUIDAS LAS MEZCLAS,40.0,D,'1602,'160249,D
16025000,PREPARACIONES Y DESPOJOS DE CARNE: DE LA ESPECIE BOVINA,20.0,D,'1602,'160250,D
16029000,- LAS DEMÁS; INCLUIDAS LAS PREPARACIONES DE SANGRE DE CUALQUIER ANIMAL,20.0,D,'1602,'160290,D
16030000,EXTRACTOS Y JUGOS DE CARNE; PESCADO O DE CRUSTACEO S; MOLUSCOS O DEMAS INVERTEBRADOS ACUATICOS.,20.0,M,'1603,'160300,M
16041100,- - SALMONES,20.0,A,'1604,'160411,A
16041200,- - ARENQUES,20.0,A,'1604,'160412,A
16041310,- - - EN ENVASES INMEDIATOS CON CONTENIDO NETO INFERIOR O IGUAL A 155 G,3.0,A,'1604,'160413,A
16041390,- - - LAS DEMÁS,20.0,A,'1604,'160413,A
16041400,- - ATUNES; LISTADOS Y BONITOS (SARDA SPP.),20.0,A,'1604,'160414,A
16041500,- -CABALLAS,20.0,A,'1604,'160415,A
16041600,- - ANCHOAS,20.0,A,'1604,'160416,A
16041900,- - LOS DEMÁS,20.0,B,'1604,'160419,B
16042000,- LAS DEMÁS PREPARACIONES Y CONSERVAS DE PESCADO,20.0,A,'1604,'160420,A
16043000,- CAVIAR Y SUS SUCEDÁNEOS,20.0,B,'1604,'160430,B
16051000,- CANGREJOS (EXCEPTO MACRUROS),20.0,B,'1605,'160510,B
16052000,CAMARONES; LANGOSTINOS; Y DEMÁS DECÁPODOSNATANTIA,20.0,B,'1605,'160520,B
16053000,- BOGAVANTES,20.0,A,'1605,'160530,A
16054000,- LOS DEMÁS CRUSTÁCEOS,20.0,B,'1605,'160540,B
16059010,- - ALMEJAS,20.0,A,'1605,'160590,A
16059090,- - LOS DEMÁS,20.0,A,'1605,'160590,A
17011100,- - DE CAÑA,85.0,D/1,'1701,'170111,D
17011200,- - DE REMOLACHA,85.0,D/1,'1701,'170112,D
17019100,- - CON ADICIÓN DE AROMATIZANTE O COLORANTE,85.0,D/1,'1701,'170191,D
17019900,- - LOS DEMÁS,85.0,D/1,'1701,'170199,D
17021100,LOS DEMAS AZUCARES: CON UN CONTENIDO DE LACTOSA SUPERIOR O IGUAL AL 99% EN PESO; EXPRESADO EN LACTOSA,8.0,A,'1702,'170211,A
17021910,LOS DEMAS AZUCARES: LACTOSA,8.0,A,'1702,'170219,A
17021920,LOS DEMAS AZUCARES: JARABE DE LACTOSA,8.0,A,'1702,'170219,A
17022010,LOS DEMAS AZUCARES: AZÚCAR DE ARCE («MAPLE»),8.0,A,'1702,'170220,A
17022020,LOS DEMAS AZUCARES: JARABE DE ARCE («MAPLE»),8.0,A,'1702,'170220,A
17023010,LOS DEMAS AZUCARES: DEXTROSA (GLUCOSA QUÍMICAMENTE PURA),14.0,B,'1702,'170230,B
17023021,LOS DEMAS AZUCARES: EN ENVASES DE CONTENIDO NETO SUPERIOR A 3 KG,14.0,See paragraph 21 of Appendix I to the General,'1702,'170230,SP
17023029,LOS DEMAS AZUCARES: LOS DEMÁS,20.0,D,'1702,'170230,D
17023090,LOS DEMAS AZUCARES: LAS DEMÁS,20.0,D,'1702,'170230,D
17024010,LOS DEMAS AZUCARES: GLUCOSA,14.0,D,'1702,'170240,D
17024020,LOS DEMAS AZUCARES: JARABE DE GLUCOSA,14.0,D,'1702,'170240,D
17025000,LOS DEMAS AZUCARES: FRUCTOSA QUIMICAMENTE PURA,14.0,D,'1702,'170250,D
17026010,LOS DEMAS AZUCARES: LAS DEMÁS FRUCTOSAS,14.0,D,'1702,'170260,D
17026021,LOS DEMAS AZUCARES: EN ENVASES DE CONTENIDO NETO SUPERIOR A 3 KG,20.0,D,'1702,'170260,D
17026029,LOS DEMAS AZUCARES: LOS DEMÁS,20.0,D,'1702,'170260,D
17029010,LOS DEMAS AZUCARES: MALTOSA QUÍMICAMENTE PURA,14.0,D,'1702,'170290,D
17029020,LOS DEMAS AZUCARES: SUCEDÁNEOS DE LA MIEL; INCLUSO MEZCLADOS CON MIEL NATURAL,20.0,D,'1702,'170290,D
17029030,LOS DEMAS AZUCARES: AZÚCARES Y MELAZAS CARAMELIZADOS,14.0,C,'1702,'170290,C
17029040,LOS DEMAS AZUCARES: AZÚCARES CON ADICIÓN DE AROMATIZANTE O COLORANTE; INCLUIDO EL AZÚCAR VAINILLADO,14.0,C,'1702,'170290,C
17029050,LOS DEMAS AZUCARES: LOS DEMÁS JARABES,14.0,C,'1702,'170290,C
17029091,LOS DEMAS AZUCARES: EN ENVASES DE CONTENIDO NETO SUPERIOR A 3 KG,14.0,C,'1702,'170290,C
17029099,LOS DEMAS AZUCARES: LOS DEMÁS,20.0,D,'1702,'170290,D
17031000,-MELAZA DE CAÑA,8.0,C,'1703,'170310,C
17039000,-LAS DEMAS,8.0,C,'1703,'170390,C
17041000,CHICLES Y DEMÁS GOMAS DE MASCAR; INCLUSO RECUBIERTOS DE AZÚCAR,20.0,A,'1704,'170410,A
17049010,CARAMELOS; CONFITES Y PASTILLAS,20.0,C,'1704,'170490,C
17049090,ARTICULOS DE CONFITERIA SIN CACAO: LOS DEMÁS,20.0,C,'1704,'170490,C
18010010,-CRUDO,14.0,C,'1801,'180100,C
18010020,-TOSTADO,14.0,C,'1801,'180100,C
18020010,-TORTAS,8.0,B,'1802,'180200,B
18020090,-LOS DEMAS,8.0,B,'1802,'180200,B
18031000,-SIN DESGRASAR,14.0,B,'1803,'180310,B
18032000,-DESGRASADA TOTAL O PARCIALMENTE,14.0,B,'1803,'180320,B
18040000,MANTECA; GRASA Y ACEITE DE CACAO,14.0,B,'1804,'180400,B
18050000,CACAO EN POLVO SIN ADICION DE AZUCAR NI OTRO EDULC ORANTE.2,20.0,N,'1805,'180500,N
18061000,- CACAO EN POLVO CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE LAS DEMÁS PREPARACIONES QUE CONTIENE CACAO; BIEN EN BLOQUES O,20.0,D,'1806,'180610,D
18062000,BARRAS CON PESO SUPERIOR A 2 KG; BIEN EN O EN POLVO; GRÁNULOS O FORMAS SIMILARES; EN RECIPIENTES O ENVASES INMEDIATOS CON UN CONTENIDO SUPERIOR A 2KG,20.0,D,'1806,'180620,D
18063100,LAS DEMÁS PREPARACIONES QUE CONTIENE CACAO: RELLENOS,20.0,D,'1806,'180631,D
18063200,LAS DEMÁS PREPARACIONES QUE CONTIENE CACAO SIN RELLENAR,20.0,D,'1806,'180632,D
18069010,ARTÍCULOS DE CONFITERÍA QUE CONTENGAN CACAO,20.0,D,'1806,'180690,D
18069090,LAS DEMÁS PREPARACIONES QUE CONTIENE CACAO: LOS DEMÁS,20.0,D,'1806,'180690,D
19011010,LECHE MODIFICADA (MATERNIZADA O HUMANIZADA),0.0,G,'1901,'190110,G
19011090,EXTRACTO DE MALTA; PREP. ALIM; DE HARINA; GRAÑONES; SEMOLA; QUE NO CONTENGAN CACAO; LAS DEMÁS,8.0,C,'1901,'190110,C
19012010,"MEZCLA PARA PREPARACIONES DE LOS DENOMINADOS ""PANCAKES"" EN ENVASE INFERIOR A 12 KILOGRAMOS",14.0,A,'1901,'190120,A
19012090,LAS DEMAS: MEZCLAS Y PRODUCTOS PANADERIA: MEZCLAS Y PASTAS PARA LA PREPARACION DE PRODUCTOS DE PANADERIA; PASTELERIA O GALLETERIA; DE LA PARTID A NO19.05,14.0,C,'1901,'190120,C
19019010,EXTRACTO DE MALTA,8.0,B,'1901,'190190,B
19019020,HARINA LACTEADA,8.0,B,'1901,'190190,B
19019090,PREPARACIONES ALIMENTICIAS; LOS DEMÁS,8.0,B,'1901,'190190,B
19021100,PASTAS ALIMENTICIAS QUE CONTENGAN HUEVO,20.0,N,'1902,'190211,N
19021900,PASTAS ALIMENTICIAS SIN COCER: LAS DEMÁS,20.0,D,'1902,'190219,D
19022000,- PASTAS ALIMENTICIAS RELLENAS; INCLUSO COCIDAS O PREPARADAS DE OTRA FORMA,20.0,A,'1902,'190220,A
19023000,- LAS DEMÁS PASTAS ALIMENTICIAS,20.0,D,'1902,'190230,D
19024000,- CUSCÚS,20.0,A,'1902,'190240,A
19030000,TAPIOCA Y SUS SUCEDÁNEOS PREPARADOS CON FÉCULA; EN COPOS; GRUMOS; GRANOS PERLADOS; CERNIDURAS O FORMAS SIMILARES.,20.0,C,'1903,'190300,C
19041000,PRODUCTOS A BASE DE CEREALES OBTENIDOS POR INFLADO O TOSTADO (CEREALES),20.0,A,'1904,'190410,A
19042000,PREPARACIONES ALIMENTICIAS OBTENIDAS CON COPOS DE CEREALES SIN TOSTAR O CON MEZCLAS DECOPOS DE CEREALES SIN TOSTAR Y COPOS DE CEREALES TOSTADOS O CEREALES INFLADOS,20.0,A,'1904,'190420,A
19043000,- TRIGO BULGUR.,20.0,A,'1904,'190430,A
19049010,ARROZ PRECOCIDO,20.0,D,'1904,'190490,D
19049090,PRODUCTOS A BASE DE CEREALES:LOS DEMÁS,20.0,C,'1904,'190490,C
19051000,- PAN CRUJIENTE LLAMADO «KNÄCKEBROT»,20.0,D,'1905,'190510,D
19052000,- PAN DE ESPECIAS,20.0,D,'1905,'190520,D
19053110,"GALLETAS DULCES (CON ADICIÓN DE EDULCORANTE) CON ADICION DE CACAO PARA ""SANDWICHS DE HELADOS""",20.0,A,'1905,'190531,A
19053190,LAS DEMAS,20.0,D,'1905,'190531,D
19053200,- BARQUILLOS Y OBLEAS; INCLUSO RELLENOS (GAUFRETTES; WAFERS) Y WAFFLES(GAUFRES).,20.0,C,'1905,'190532,C
19054000,- PAN TOSTADO Y PRODUCTOS SIMILARES TOSTADOS,20.0,D,'1905,'190540,D
19059010,- - LOS DEMÁS PRODUCTOS DE PANADERÍA; PASTELERÍA O GALLETERÍA; INCLUSO CON ADICIÓN DE CACAO,20.0,D,'1905,'190590,D
19059090,- - LOS DEMÁS,20.0,D,'1905,'190590,D
20011000,- PEPINOS Y PEPINILLOS,20.0,A,'2001,'200110,A
20019010,- - ACEITUNAS,20.0,A,'2001,'200190,A
20019020,- - ALCAPARRAS,20.0,A,'2001,'200190,A
20019090,- - LOS DEMÁS,20.0,A,'2001,'200190,A
20021000,TOMATES ENTEROS O EN TROZOS (PREPARADOS O CONSERVADOS) ENLATADOS.,20.0,C,'2002,'200210,C
20029011,TOMATES CONCETRADOS; EN ENVASES PARA LA VENTA AL POR MENOR DE CONTENIDO NETO INFERIOR OIGUAL A 2;5 KG,20.0,D,'2002,'200290,D
20029019,TOMATES CONCENTRADOS LOS DEMÁS,14.0,C,'2002,'200290,C
20029090,TOMATES CONCENTRADOS: LOS DEMÁS,20.0,D,'2002,'200290,D
20031000,- SETAS Y DEMÁS HONGOS DEL GÉNERO AGARICUS,20.0,A,'2003,'200310,A
20032000,-TRUFAS,20.0,A,'2003,'200320,A
20039000,-LOS DEMAS,20.0,A,'2003,'200390,A
20041000,LAS DEMAS HORTALIZAS; PAPAS (PATATAS) CONGELADAS,20.0,B,'2004,'200410,B
20049000,-LAS DEMAS HORTALIZAS Y LAS MEZCLAS DE HORTALIZAS,20.0,C,'2004,'200490,C
20051000,- HORTALIZAS HOMOGENEIZADAS,20.0,C,'2005,'200510,C
20052000,PAPAS (PATATAS) PREPARADAS O CONSERVADAS; SIN CONGELAR,20.0,C,'2005,'200520,C
20054000,- GUISANTES (ARVEJAS; CHÍCHAROS) (PISUM SATIVUM),20.0,A,'2005,'200540,A
20055100,- - DESVAINADOS,20.0,B,'2005,'200551,B
20055900,- - LOS DEMÁS,20.0,B,'2005,'200559,B
20056000,ESPÁRRAGOS,20.0,A,'2005,'200560,A
20057000,- ACEITUNAS,20.0,A,'2005,'200570,A
20058000,MAÍZ DULCE (ZEA MAYS VAR. SACCHARATA),20.0,C,'2005,'200580,C
20059010,FRUTOS DE LOS GÉNEROS CAPSICUM O PIMIENTA,20.0,C,'2005,'200590,C
20059020,GUANDULES (GUANDÚES) (CAJANUS CAJAN; CAJANUS INDICUS),20.0,C,'2005,'200590,C
20059090,HORTALIZAS: LAS DEMÁS,20.0,C,'2005,'200590,C
20060000,HORTALIZAS (INCLUSO SILVESTRES); FRUTAS U OTROS FR UTOS; SUS CORTEZAS Y DEMAS PARTES DE PLANTAS; CONF ITADOS CON AZUCAR (ALMIBARADOS; GLASEADOSO ESCARCH ADOS).,20.0,A,'2006,'200600,A
20071010,CONFITURAS; JALEAS O MERMELADAS DE AGRIOS (CÍTRICOS),20.0,C,'2007,'200710,C
20071020,CONFITURAS; JALEAS O MERMELADAS DE PIÑAS (ANANÁS),20.0,C,'2007,'200710,C
20071090,--LAS DEMÁS PREPARACIONES HOMOGENEIZADAS («COMPOTAS»),20.0,A,'2007,'200710,A
20079130,- - - CONFITURAS; JALEAS Y MERMELADAS,20.0,C,'2007,'200791,C
20079140,- - - PURÉS Y PASTAS,20.0,C,'2007,'200791,C
20079911,LAS DEMAS CONFITURAS; JALEAS Y MERMELADAS DE PIÑA,20.0,C,'2007,'200799,C
20079912,PURÉS Y PASTAS DE PIÑA,20.0,C,'2007,'200799,C
20079921,CONFITURAS; JALEAS O MERMELADAS DE FRESA,20.0,B,'2007,'200799,B
20079922,CONFITURAS; JALEAS O MERMELADAS DE BATATA,20.0,B,'2007,'200799,B
20079923,CONFITURAS; JALEAS O MERMELADAS DE GUAYABA,20.0,C,'2007,'200799,C
20079924,CONFITURAS; JALEAS O MERMELADAS DE MANGO,20.0,C,'2007,'200799,C
20079925,CONFITURAS; JALEAS O MERMELADAS DE TAMARINDO,20.0,B,'2007,'200799,B
20079926,CONFITURAS; JALEAS O MERMELADAS DE HIGO,20.0,A,'2007,'200799,A
20079927,CONFITURAS; JALEAS O MERMELADAS DE PAPAYA (LECHOSA),20.0,B,'2007,'200799,B
20079928,CONFITURAS; JALEAS O MERMELADAS DE GUANÁBANA,20.0,B,'2007,'200799,B
20079929,CONFITURAS; JALEAS O MERMELADAS: LAS DEMÁS,20.0,B,'2007,'200799,B
20079931,PURES Y PASTAS DE BATATA,20.0,B,'2007,'200799,B
20079932,PURES Y PASTAS DE GUAYABA,20.0,B,'2007,'200799,B
20079933,PURES Y PASTAS DE MANGO,20.0,B,'2007,'200799,B
20079934,PURES Y PASTAS DE TAMARINDO,20.0,B,'2007,'200799,B
20079935,PURES Y PASTAS DE HIGO,20.0,A,'2007,'200799,A
20079939,PURES Y PASTAS: LAS DEMÁS,20.0,C,'2007,'200799,C
20081110,MANTECA DE MANÍ (CACAHUETE; CACAHUATE),20.0,A,'2008,'200811,A
20081190,- - - LOS DEMÁS,20.0,A,'2008,'200811,A
20081910,- - - NUECES DE CAJUIL (MARAÑÓN; MEREY; ANACARDO;«CAJÚ»),20.0,C,'2008,'200819,C
20081920,PISTACHOS,20.0,A,'2008,'200819,A
20081990,LOS DEMÁS FRUTOS COMESTIBLES:; INCLUIDAS LAS MEZCLAS,20.0,A,'2008,'200819,A
20082000,- PIÑAS (ANANÁS),20.0,C,'2008,'200820,C
20083010,- - NARANJAS,20.0,C,'2008,'200830,C
20083020,- - LIMONES,20.0,C,'2008,'200830,C
20083090,- - LOS DEMÁS,20.0,C,'2008,'200830,C
20084010,FRUTOS COMESTIBLES: CON ADICIÓN DE ALCOHOL (PERAS),20.0,A,'2008,'200840,A
20084090,FRUTOS COMESTIBLES: LAS DEMÁS,20.0,A,'2008,'200840,A
20085010,- - CON ADICIÓN DE ALCOHOL,20.0,A,'2008,'200850,A
20085090,- - LOS DEMÁS,20.0,A,'2008,'200850,A
20086000,- CEREZAS,20.0,A,'2008,'200860,A
20087010,FRUTOS COMESTIBLES: CON ADICIÓN DE ALCOHOL (MELOCOTON; DURAZNOS),20.0,A,'2008,'200870,A
20087090,FRUTOS COMESTIBLES: LOS DEMÁS,20.0,A,'2008,'200870,A
20088010,- - CON ADICIÓN DE ALCOHOL,20.0,A,'2008,'200880,A
20088090,- - LAS DEMÁS,20.0,A,'2008,'200880,A
20089100,- - PALMITOS,20.0,A,'2008,'200891,A
20089200,FRUTOS COMESTIBLES: MEZCLAS DE CAJUIL; PISTACHOS,20.0,A,'2008,'200892,A
20089910,FRUTOS COMESTIBLES: PAPAYAS (LECHOSAS) SIN ALCOHOL,20.0,C,'2008,'200899,C
20089920,FRUTOS COMESTIBLES: MANGOS; MANZANAS; CIRUELAS Y MAMEYES; SIN ALCOHOL,20.0,B,'2008,'200899,B
20089991,OTROS FRUTOS COMESTIBLES: CON ADICIÓN DE ALCOHOL,20.0,A,'2008,'200899,A
20089992,FRUTOS COMESTIBLES: EN AGUA CON ADICIÓN DE AZÚCAR U OTRO EDULCORANTE; INCLUIDO EL ALMÍBAR,20.0,B,'2008,'200899,B
20089999,FRUTOS COMESTIBLES: LOS DEMÁS,20.0,B,'2008,'200899,B
20091100,JUGO DE FRUTA: NARANJA CONGELADO,20.0,D,'2009,'200911,D
20091200,- - SIN CONGELAR; DE UN VALOR BRIX NO SUPERIOR A 20,20.0,D,'2009,'200912,D
20091900,JUGO DE FRUTA: LOS DEMÁS,20.0,A,'2009,'200919,A
20092100,JUGO DE FRUTA: TORONJA DE UN VALOR BRIX NO SUPERIOR A 20,20.0,A,'2009,'200921,A
20092900,JUGO DE FRUTA; LOS DEMÁS; TORONJA,20.0,A,'2009,'200929,A
20093100,- - DE UN VALOR BRIX NO SUPERIOR A 20,20.0,N,'2009,'200931,N
20093900,- - LOS DEMÁS,20.0,N,'2009,'200939,N
20094100,- - DE UN VALOR BRIX NO SUPERIOR A 20,20.0,N,'2009,'200941,N
20094900,- - LOS DEMÁS,20.0,N,'2009,'200949,N
20095000,- JUGO DE TOMATE,20.0,C,'2009,'200950,C
20096100,JUGO DE UVA (INCLUIDO EL MOSTO) DE UN VALOR BRIX NO SUPERIOR A 30,20.0,A,'2009,'200961,A
20096900,JUGO DE UVA (INCLUIDO EL MOSTO): LOS DEMÁS,20.0,A,'2009,'200969,A
20097100,- - DE UN VALOR BRIX NO SUPERIOR A 20,20.0,A,'2009,'200971,A
20097900,JUGO DE FRUTA: JUGO DE MANZANA; LOS DEMÁS,20.0,A,'2009,'200979,A
20098010,- - DE PAPAYA (LECHOSA),20.0,C,'2009,'200980,C
20098020,- - DE MELOCOTÓN (DURAZNO),20.0,A,'2009,'200980,A
20098030,- - JUGO DE UNA SOLA HORTALIZA,20.0,C,'2009,'200980,C
20098040,JUGO DE ARANDANO <<CRAMBERRY>>,20.0,A,'2009,'200980,A
20098090,JUGO DE FRUTAS: JUGOS DE CUALQUIER OTRA FRUTA;LOS DEMAS,20.0,C,'2009,'200980,C
20099000,MEZCLAS DE JUGOS,20.0,A,'2009,'200990,A
20099910,- - EN ENVASES DE CONTENIDO NETO INFERIOR O IGUAL A 2.5 KG,8.0,C,'2009,'200999,C
20099990,- - LOS DEMÁS,20.0,C,'2009,'200999,C
21011100,CAFÉ: EXTRACTOS; ESENCIAS Y CONCENTRADOS,20.0,D,'2101,'210111,D
21011200,- - PREPARACIONES A BASE DE EXTRACTOS; ESENCIAS O CONCENTRADOS O A BASE DE CAFÉ,20.0,D,'2101,'210112,D
21012000,- EXTRACTOS; ESENCIAS Y CONCENTRADOS DE TÉ O DE YERBA MATE Y PREPARACIONES A BASE DE ESTOSEXTRACTOS; ESENCIAS O CONCENTRADOS O A BASE DE TÉ O DE YERBA MATE,20.0,A,'2101,'210120,A
21013000,- ACHICORIA TOSTADA Y DEMÁS SUCEDÁNEOS DEL CAFÉ TOSTADOS Y SUS EXTRACTOS; ESENCIAS Y,20.0,D,'2101,'210130,D
21021000,- LEVADURAS VIVAS,8.0,A,'2102,'210210,A
21022000,- LEVADURAS MUERTAS; LOS DEMÁS MICROORGANISMOS MONOCELULARES MUERTOS,8.0,A,'2102,'210220,A
21023000,- POLVOS DE LEVANTAR PREPARADOS,20.0,A,'2102,'210230,A
21031010,- - EN ENVASES DE CONTENIDO NETO SUPERIOR A 3 KG.,14.0,A,'2103,'210310,A
21031090,- - LOS DEMÁS,20.0,A,'2103,'210310,A
21032000,«KETCHUP» Y DEMÁS SALSAS DE TOMATE,20.0,N,'2103,'210320,N
21033010,- - HARINA DE MOSTAZA,14.0,B,'2103,'210330,B
21033020,- - MOSTAZA PREPARADA,20.0,C,'2103,'210330,C
21039010,SALSA MAYONESA,20.0,C,'2103,'210390,C
21039020,CONDIMENTOS Y SAZONADORES; COMPUESTOS,20.0,C,'2103,'210390,C
21039090,PREPARACIONES PARA SALSAS Y SALSAS PREPARADAS: LAS DEMÁS,20.0,D,'2103,'210390,D
21041010,PREPARACIONES PARA SOPAS; POTAJES O CALDOS,20.0,D,'2104,'210410,D
21041020,SOPAS; POTAJES O CALDOS PREPARADOS (SOPAS LIQUIDAS),20.0,D,'2104,'210410,D
21042000,- PREPARACIONES ALIMENTICIAS COMPUESTAS HOMOGENEIZADAS,20.0,C,'2104,'210420,C
21050000,HELADOS; INCLUSO CON CACAO.,20.0,See paragraph 16 of Appendix I to the General,'2105,'210500,SP
21061000,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE: CONCENTRADOS DE PROTEÍNAS Y SUSTANCIAS PROTEICAS TEXTURADAS,8.0,A,'2106,'210610,A
21069010,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE POLVOS PARA LA PREPARACIÓN DE BUDINES; CREMAS; HELADOS; POSTRES; GELATINAS; GALLETAS;,8.0,A,'2106,'210690,A
21069021,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE CON GRADO ALCOHÓLICO VOLUMÉTRICO INFERIOR O IGUAL A 0;5% VOL.,3.0,A,'2106,'210690,A
21069022,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE CON GRADO ALCOHÓLICO VOLUMÉTRICO SUPERIOR A 0;5% VOL.,3.0,A,'2106,'210690,A
21069030,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE HIDROLIZADOS DE PROTEÍNAS,8.0,A,'2106,'210690,A
21069040,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE AUTOLIZADOS DE LEVADURA,8.0,A,'2106,'210690,A
21069050,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE MEJORADORES DE PANIFICACIÓN,8.0,A,'2106,'210690,A
21069060,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE PREPARACIONES A BASE DE SUSTANCIAS PROTEICAS TEXTURADAS,20.0,B,'2106,'210690,B
21069070,PREPARACIONES PARA LA ELABORACIÓN DE BEBIDAS POR SIMPLE DILUCIÓN EN ENVASES PROPIOSPARA LA VENTA AL POR MENOR CON CONTENIDO NETO INFERIOR O IGUAL A 1 KG.,20.0,C,'2106,'210690,C
21069091,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTE EN ENVASES DE CONTENIDO NETO SUPERIOR A 3 KG.,3.0,A,'2106,'210690,A
21069099,PREPARACIONES ALIMENTICIAS NO EXPRESADA EN OTRA PARTELOS DEMÁS,20.0,C,'2106,'210690,C
22011000,-AGUA MINERAL Y AGUA GASEADA,20.0,D,'2201,'220110,D
22019000,-LOS DEMAS,20.0,D,'2201,'220190,D
22021000,AGUA; INCLUIDAS EL AGUA MINERAL Y LA GASEADA; CON ADICION DE AZUCAR U OTRO EDULCORANTE O AROMATIZADA (REFRESCOS Y JUGOS),20.0,D,'2202,'220210,D
